"","maakunta","vuosi","toimiala","tuottavuus","nobs"
"139","Keski-Pohjanmaa",2013,"Maatalous, metsätalous ja kalatalous",1.23138011317926,2627
"140","Keski-Suomi",2013,"Maatalous, metsätalous ja kalatalous",2.8745805479577,4862
"141","Kymenlaakso",2013,"Maatalous, metsätalous ja kalatalous",2.1445907261205,5248
"142","Lappi",2013,"Maatalous, metsätalous ja kalatalous",1.91293302449148,1441
"143","Päijät-Häme",2013,"Maatalous, metsätalous ja kalatalous",2.03232145269251,1703
"144","Pirkanmaa",2013,"Maatalous, metsätalous ja kalatalous",2.3774525421481,9143
"145","Pohjanmaa",2013,"Maatalous, metsätalous ja kalatalous",1.88802780982172,8053
"146","Pohjois-Karjala",2013,"Maatalous, metsätalous ja kalatalous",2.30427452948014,4473
"147","Pohjois-Pohjanmaa",2013,"Maatalous, metsätalous ja kalatalous",1.82995284416981,6863
"148","Pohjois-Savo",2013,"Maatalous, metsätalous ja kalatalous",1.61947329026226,10860
"149","Satakunta",2013,"Maatalous, metsätalous ja kalatalous",2.25837144650999,4084
"150","Uusimaa",2013,"Maatalous, metsätalous ja kalatalous",2.12561775036885,6737
"151","Varsinais-Suomi",2013,"Maatalous, metsätalous ja kalatalous",1.83065514987558,16668
"152","Ahvenanmaa",2013,"Majoitus- ja ravitsemistoiminta",1.26905890680587,74
"153","Etelä-Karjala",2013,"Majoitus- ja ravitsemistoiminta",1.46175043409668,1238
"154","Etelä-Pohjanmaa",2013,"Majoitus- ja ravitsemistoiminta",2.20047249115504,741
"155","Etelä-Savo",2013,"Majoitus- ja ravitsemistoiminta",1.96569992191642,1264
"156","Kainuu",2013,"Majoitus- ja ravitsemistoiminta",1.37558544067686,201
"157","Kanta-Häme",2013,"Majoitus- ja ravitsemistoiminta",1.58055185131761,964
"158","Keski-Pohjanmaa",2013,"Majoitus- ja ravitsemistoiminta",1.74157930089828,357
"159","Keski-Suomi",2013,"Majoitus- ja ravitsemistoiminta",1.73561763759523,1309
"160","Kymenlaakso",2013,"Majoitus- ja ravitsemistoiminta",2.09942284576351,1308
"161","Lappi",2013,"Majoitus- ja ravitsemistoiminta",1.61294038234578,724
"162","Päijät-Häme",2013,"Majoitus- ja ravitsemistoiminta",2.11164037430935,505
"163","Pirkanmaa",2013,"Majoitus- ja ravitsemistoiminta",2.14812473512697,2646
"164","Pohjanmaa",2013,"Majoitus- ja ravitsemistoiminta",1.92336675312214,594
"165","Pohjois-Karjala",2013,"Majoitus- ja ravitsemistoiminta",2.20159952623473,913
"166","Pohjois-Pohjanmaa",2013,"Majoitus- ja ravitsemistoiminta",1.58508288429788,2037
"167","Pohjois-Savo",2013,"Majoitus- ja ravitsemistoiminta",1.84545969442815,1840
"168","Satakunta",2013,"Majoitus- ja ravitsemistoiminta",1.97296029619095,1152
"169","Uusimaa",2013,"Majoitus- ja ravitsemistoiminta",1.94060788702896,1983
"170","Varsinais-Suomi",2013,"Majoitus- ja ravitsemistoiminta",2.11430817301439,4005
"171","Ahvenanmaa",2013,"Muu palvelutoiminta",4.01045913013495,41
"172","Etelä-Karjala",2013,"Muu palvelutoiminta",4.82726239614322,1347
"173","Etelä-Pohjanmaa",2013,"Muu palvelutoiminta",5.37672837741113,985
"174","Etelä-Savo",2013,"Muu palvelutoiminta",5.26818091054596,1149
"175","Kainuu",2013,"Muu palvelutoiminta",3.86462760441102,269
"176","Kanta-Häme",2013,"Muu palvelutoiminta",6.1454523582638,1166
"177","Keski-Pohjanmaa",2013,"Muu palvelutoiminta",4.81643751611886,522
"178","Keski-Suomi",2013,"Muu palvelutoiminta",5.69159329065895,1740
"179","Kymenlaakso",2013,"Muu palvelutoiminta",5.33714198479526,1370
"180","Lappi",2013,"Muu palvelutoiminta",5.05506484903685,484
"181","Päijät-Häme",2013,"Muu palvelutoiminta",5.50473901407818,621
"182","Pirkanmaa",2013,"Muu palvelutoiminta",5.66420147430973,3201
"183","Pohjanmaa",2013,"Muu palvelutoiminta",4.9310438886819,719
"184","Pohjois-Karjala",2013,"Muu palvelutoiminta",4.93621628948917,1158
"185","Pohjois-Pohjanmaa",2013,"Muu palvelutoiminta",4.58960122834055,2298
"186","Pohjois-Savo",2013,"Muu palvelutoiminta",4.75916507776101,2272
"187","Satakunta",2013,"Muu palvelutoiminta",5.17660735187558,1499
"188","Uusimaa",2013,"Muu palvelutoiminta",5.38620986597607,2092
"189","Varsinais-Suomi",2013,"Muu palvelutoiminta",5.31007650609763,3932
"190","Ahvenanmaa",2013,"Rahoitus- ja vakuutustoiminta",1.367392577744,66
"191","Etelä-Karjala",2013,"Rahoitus- ja vakuutustoiminta",1.07328826268963,537
"192","Etelä-Pohjanmaa",2013,"Rahoitus- ja vakuutustoiminta",0.774883959419748,371
"193","Etelä-Savo",2013,"Rahoitus- ja vakuutustoiminta",0.760220449243488,496
"194","Kainuu",2013,"Rahoitus- ja vakuutustoiminta",0.946311120461211,83
"195","Kanta-Häme",2013,"Rahoitus- ja vakuutustoiminta",1.1163213422825,411
"196","Keski-Pohjanmaa",2013,"Rahoitus- ja vakuutustoiminta",1.11510610793864,268
"197","Keski-Suomi",2013,"Rahoitus- ja vakuutustoiminta",1.00186296458788,568
"198","Kymenlaakso",2013,"Rahoitus- ja vakuutustoiminta",1.08078530872149,425
"199","Lappi",2013,"Rahoitus- ja vakuutustoiminta",0.736825015874865,185
"200","Päijät-Häme",2013,"Rahoitus- ja vakuutustoiminta",0.94706019050871,257
"201","Pirkanmaa",2013,"Rahoitus- ja vakuutustoiminta",0.999925995476414,1269
"202","Pohjanmaa",2013,"Rahoitus- ja vakuutustoiminta",0.851736993044033,455
"203","Pohjois-Karjala",2013,"Rahoitus- ja vakuutustoiminta",0.770735824609995,447
"204","Pohjois-Pohjanmaa",2013,"Rahoitus- ja vakuutustoiminta",0.86225076152653,1212
"205","Pohjois-Savo",2013,"Rahoitus- ja vakuutustoiminta",0.635858855616621,842
"206","Satakunta",2013,"Rahoitus- ja vakuutustoiminta",1.09199939051873,572
"207","Uusimaa",2013,"Rahoitus- ja vakuutustoiminta",0.915776255252388,893
"208","Varsinais-Suomi",2013,"Rahoitus- ja vakuutustoiminta",1.0130247075668,2037
"209","Ahvenanmaa",2013,"Rakentaminen",2.15052671702827,163
"210","Etelä-Karjala",2013,"Rakentaminen",2.30933180134496,3776
"211","Etelä-Pohjanmaa",2013,"Rakentaminen",2.57706780680122,3584
"212","Etelä-Savo",2013,"Rakentaminen",2.80930896546014,3377
"213","Kainuu",2013,"Rakentaminen",1.6896528807912,514
"214","Kanta-Häme",2013,"Rakentaminen",2.64753360495036,3250
"215","Keski-Pohjanmaa",2013,"Rakentaminen",2.0783633021772,1444
