"","date","TOL","maakunta","yrityksiä","työntekijöitä"
"28747",NA,NA,"MK12 Pohjois-Karjala","0",0
"28748",NA,NA,"MK13 Keski-Suomi","0",0
"28749",NA,NA,"MK14 Etelä-Pohjanmaa","1",1
"28750",NA,NA,"MK15 Pohjanmaa","1",2
"28751",NA,NA,"MK16 Keski-Pohjanmaa","0",0
"28752",NA,NA,"MK17 Pohjois-Pohjanmaa","0",0
"28753",NA,NA,"MK18 Kainuu","0",0
"28754",NA,NA,"MK19 Lappi","0",0
"28755",NA,NA,"MA2 AHVENANMAA","0",0
"28756",NA,NA,"MK21 Ahvenanmaa","0",0
"28757",NA,"Teollisuus, kaivostoiminta sekä energia- ja vesihuolto","KOKO MAA","32",266
"28758",NA,NA,"MA1 MANNER-SUOMI","32",266
"28759",NA,NA,"MK01 Uusimaa","9",44
"28760",NA,NA,"MK02 Varsinais-Suomi","4",73
"28761",NA,NA,"MK04 Satakunta","0",0
"28762",NA,NA,"MK05 Kanta-Häme","1",1
"28763",NA,NA,"MK06 Pirkanmaa","3",15
"28764",NA,NA,"MK07 Päijät-Häme","1",7
"28765",NA,NA,"MK08 Kymenlaakso","0",0
"28766",NA,NA,"MK09 Etelä-Karjala","0",0
"28767",NA,NA,"MK10 Etelä-Savo","0",0
"28768",NA,NA,"MK11 Pohjois-Savo","1",1
"28769",NA,NA,"MK12 Pohjois-Karjala","1",2
"28770",NA,NA,"MK13 Keski-Suomi","4",81
"28771",NA,NA,"MK14 Etelä-Pohjanmaa","1",1
"28772",NA,NA,"MK15 Pohjanmaa","3",24
"28773",NA,NA,"MK16 Keski-Pohjanmaa","0",0
"28774",NA,NA,"MK17 Pohjois-Pohjanmaa","3",16
"28775",NA,NA,"MK18 Kainuu","0",0
"28776",NA,NA,"MK19 Lappi","1",1
"28777",NA,NA,"MA2 AHVENANMAA","0",0
"28778",NA,NA,"MK21 Ahvenanmaa","0",0
"28779",NA,"Rakennustoiminta","KOKO MAA","32",230
"28780",NA,NA,"MA1 MANNER-SUOMI","32",230
"28781",NA,NA,"MK01 Uusimaa","10",55
"28782",NA,NA,"MK02 Varsinais-Suomi","4",27
"28783",NA,NA,"MK04 Satakunta","1",1
"28784",NA,NA,"MK05 Kanta-Häme","0",0
"28785",NA,NA,"MK06 Pirkanmaa","3",74
"28786",NA,NA,"MK07 Päijät-Häme","1",1
"28787",NA,NA,"MK08 Kymenlaakso","2",3
"28788",NA,NA,"MK09 Etelä-Karjala","2",3
"28789",NA,NA,"MK10 Etelä-Savo","1",1
"28790",NA,NA,"MK11 Pohjois-Savo","1",3
"28791",NA,NA,"MK12 Pohjois-Karjala","1",1
"28792",NA,NA,"MK13 Keski-Suomi","3",25
"28793",NA,NA,"MK14 Etelä-Pohjanmaa","0",0
"28794",NA,NA,"MK15 Pohjanmaa","1",9
"28795",NA,NA,"MK16 Keski-Pohjanmaa","0",0
"28796",NA,NA,"MK17 Pohjois-Pohjanmaa","1",1
"28797",NA,NA,"MK18 Kainuu","0",0
"28798",NA,NA,"MK19 Lappi","1",26
"28799",NA,NA,"MA2 AHVENANMAA","0",0
"28800",NA,NA,"MK21 Ahvenanmaa","0",0
"28801",NA,"Kauppa","KOKO MAA","35",85
"28802",NA,NA,"MA1 MANNER-SUOMI","35",85
"28803",NA,NA,"MK01 Uusimaa","4",14
"28804",NA,NA,"MK02 Varsinais-Suomi","5",7
"28805",NA,NA,"MK04 Satakunta","2",6
"28806",NA,NA,"MK05 Kanta-Häme","1",1
"28807",NA,NA,"MK06 Pirkanmaa","2",7
"28808",NA,NA,"MK07 Päijät-Häme","3",3
"28809",NA,NA,"MK08 Kymenlaakso","2",5
"28810",NA,NA,"MK09 Etelä-Karjala","0",0
"28811",NA,NA,"MK10 Etelä-Savo","0",0
"28812",NA,NA,"MK11 Pohjois-Savo","3",3
"28813",NA,NA,"MK12 Pohjois-Karjala","1",5
"28814",NA,NA,"MK13 Keski-Suomi","0",0
"28815",NA,NA,"MK14 Etelä-Pohjanmaa","3",15
"28816",NA,NA,"MK15 Pohjanmaa","2",4
"28817",NA,NA,"MK16 Keski-Pohjanmaa","1",1
"28818",NA,NA,"MK17 Pohjois-Pohjanmaa","1",3
"28819",NA,NA,"MK18 Kainuu","2",4
"28820",NA,NA,"MK19 Lappi","3",7
"28821",NA,NA,"MA2 AHVENANMAA","0",0
"28822",NA,NA,"MK21 Ahvenanmaa","0",0
"28823",NA,"Kuljetus ja varastointi","KOKO MAA","18",83
"28824",NA,NA,"MA1 MANNER-SUOMI","18",83
"28825",NA,NA,"MK01 Uusimaa","7",48
"28826",NA,NA,"MK02 Varsinais-Suomi","0",0
"28827",NA,NA,"MK04 Satakunta","2",14
"28828",NA,NA,"MK05 Kanta-Häme","1",1
"28829",NA,NA,"MK06 Pirkanmaa","2",3
"28830",NA,NA,"MK07 Päijät-Häme","1",7
"28831",NA,NA,"MK08 Kymenlaakso","0",0
"28832",NA,NA,"MK09 Etelä-Karjala","1",6
"28833",NA,NA,"MK10 Etelä-Savo","1",1
"28834",NA,NA,"MK11 Pohjois-Savo","0",0
"28835",NA,NA,"MK12 Pohjois-Karjala","0",0
"28836",NA,NA,"MK13 Keski-Suomi","0",0
"28837",NA,NA,"MK14 Etelä-Pohjanmaa","1",1
"28838",NA,NA,"MK15 Pohjanmaa","0",0
"28839",NA,NA,"MK16 Keski-Pohjanmaa","0",0
"28840",NA,NA,"MK17 Pohjois-Pohjanmaa","2",2
"28841",NA,NA,"MK18 Kainuu","0",0
"28842",NA,NA,"MK19 Lappi","0",0
"28843",NA,NA,"MA2 AHVENANMAA","0",0
"28844",NA,NA,"MK21 Ahvenanmaa","0",0
"28845",NA,"Majoitus- ja ravitsemistoiminta","KOKO MAA","19",96
"28846",NA,NA,"MA1 MANNER-SUOMI","19",96
"28847",NA,NA,"MK01 Uusimaa","7",21
"28848",NA,NA,"MK02 Varsinais-Suomi","1",2
"28849",NA,NA,"MK04 Satakunta","1",4
"28850",NA,NA,"MK05 Kanta-Häme","1",3
"28851",NA,NA,"MK06 Pirkanmaa","2",3
"28852",NA,NA,"MK07 Päijät-Häme","0",0
"28853",NA,NA,"MK08 Kymenlaakso","0",0
"28854",NA,NA,"MK09 Etelä-Karjala","0",0
"28855",NA,NA,"MK10 Etelä-Savo","1",1
"28856",NA,NA,"MK11 Pohjois-Savo","1",25
